"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
776103,450876,LUBBOCK HEART HOSPITAL,4810 NORTH LOOP 289,LUBBOCK,TX,79416,LUBBOCK,31180,U,STH,1,5,01/01/2023,12/31/2023,336.2,,,1859,8,5389,73,26645,,564,8,1580,73,,1500,,3763,58,21170,,564,8,1580,3185701,1662079,3584982,4583830,25733970,70456501,4573855,94056282,126935491,294819183,421754674,5503853,,25733970,3627890,,,162866,,,9482174,,3023584,425864,,13094488,,,4686280,66943026,,22932465,,7546821,48284222,,4691819,4691819,66070529,-34517453,,,,,,-34517453,,57248947,,,57248947,22731494,43339035,43339035,66070529,,5912279,1793635,,,,,,126935490,294819184,421754674,322186480,99568194,96190470,3377724,238221,3615945,2,3615943,0.223012,2567789,15993029,,
776104,450891,PRESBYTERIAN PLANO CENTER DIAG SRVCS,6020 W PARKER RD,PLANO,TX,75093-,DALLAS,19124,U,ORD,1,4,01/01/2023,12/31/2023,177.83,,,118,,611,18,6570,,63,,367,18,,118,,611,18,6570,,63,,367,401341,3077653,1278529,1280496,16308993,49657248,1442066,63231210,27224367,195008135,222232502,3631540,,16308993,992740,,,14004571,,,10916817,,1966237,1330171,,28878831,,,3331530,102312,1474659,20988717,,,6322457,,1979040,19265777,54467065,7766362,1458128,,,,19819988,29044478,,,,,,29044478,25422587,25422587,54467065,,839481,235602,,,,,,27277035,194979708,222256743,132966703,89290040,65966241,23323799,800136,24123935,2791032,21332903,0.284527,280723,993542,,
776105,451328,RICELAND MEDICAL CENTER,538 BROADWAY,WINNIE,TX,77665,CHAMBERS,26420,U,CAH,1,4,01/01/2023,12/31/2023,174.87,,,943,2,1247,25,9125,,185,1,251,25,,711,2,979,25,9125,,185,1,251,1122125,2621916,1877134,5026421,15696448,22235100,1601288,20157584,4449613,95311763,99761376,,,,,,,3126380,,3987500,43604674,-41948128,268501,138468,1172469,10349864,,,240000,1142650,1584176,2605553,,,1568108,,85611,85611,12003583,8240182,1240838,,2631213,,,12112233,,273222,,,273222,12385455,-381872,-381872,12003583,,,,,,,,,4451398,267889977,272341375,237391113,34950262,37931548,-2981286,1355448,-1625838,1298115,-2923953,0.202058,1604368,17346862,23291,239105
776106,451349,SWISHER MEMORIAL HEALTHCARE SYSTEM,SWISHER MEMORIAL HEALTHCARE SYSTEM,TULIA,TX,79088,SWISHER,99945,R,CAH,1,13,01/01/2023,12/31/2023,53,,,464,,943,20,7300,,32,,64,26,,104,,195,20,7300,,32,,64,958365,452162,1311598,1364933,5198959,6527283,1372709,10917784,1981548,11993962,13975510,,,,,,,3997701,,,3872770,-2575347,278890,51465,,5907171,,80374,13500,965721,4731958,,,,1567063,,,,7474234,67216,524882,,,,304476,896574,,148301,,,148301,1044875,6429359,6429359,7474234,,,,,,,,,1981075,12241369,14222444,5975799,8246645,11726242,-3479597,1921999,-1557598,,-1557598,0.781208,1258959,2170620,,
776108,451370,TMC BONHAM HOSPITAL,504 LIPSCOMB BLVD,BONHAM,TX,75418-4028,FANNIN,99945,R,CAH,1,9,01/01/2023,12/31/2023,112.48,,,1957,,4617,25,9125,,80,,306,25,,306,,1132,25,9125,,80,,306,2132116,7962297,3907951,3907951,10904910,11626143,66280,20441745,33644668,58423870,92068538,,,,,,,2260886,,,30698539,-22202388,334179,1367406,,12071649,,,,,,1668388,,,1668388,,-1517269,-1517269,12222768,3507205,221496,,,,-50962,3677739,,,6475092,,6475092,10152831,2069937,2069937,12222768,,,,,,,,,33668511,58532691,92201202,70811363,21389839,22531053,-1141214,1052194,-89020,,-89020,0.222027,1952193,7947574,,
776110,451376,LAVACA MEDICAL CENTER,1400 N. TEXANA,HALLETTSVILLE,TX,77964-,LAVACA,99945,R,CAH,1,11,01/01/2023,12/31/2023,114.52,,,1257,,2048,25,9125,,240,,403,25,,915,,1508,25,9125,,240,,403,772478,517650,1106999,1511536,8303196,15722970,1279920,20902558,4576597,27651563,32228160,,,,,,,561404,5699847,,4912080,-2033085,657804,224270,394758,10508078,366422,,16205259,,539079,12505848,,,9383642,,,,19891720,616418,449321,22318,,,-230624,857433,,,,,,857433,19034287,19034287,19891720,,,,,,,,,4592557,30788408,35380965,16060180,19320785,24026166,-4705381,6806327,2100946,38581,2062365,0.648581,731084,1750931,,
776111,452087,SSH - LONGVIEW  INC.,700 EAST MARSHALL AVENUE,LONGVIEW,TX,75601,GREGG,30980,U,LTCH,2,4,01/01/2023,12/31/2023,82.59,,,3957,,7797,32,11680,,163,,300,32,,3957,,7797,32,11680,,163,,300,,,,,7167738,6550967,227964,13905641,122810663,,122810663,1195462,,7167738,383302,,,,,,1807103,,,,100668,1907771,,,589008,,,2576104,,,933973,,19683,10329387,13171131,423148,572607,,,,308720,1304475,,,,,,1304475,11866656,11866656,13171131,,,,,,,,,122810662,,122810662,107986344,14824318,13718705,1105613,17325,1122938,786412,336526,,,,,
776113,454134,HAVEN BEHAVIORAL HOSPITAL OF FRISCO,5680 FRISCO SQUARE BLVD  SUITE 3000,FRISCO,TX,75034-3308,DENTON,19124,U,PH,4,4,01/01/2023,12/31/2023,121.5,,,1901,78,20059,70,25550,,144,11,2595,70,,1901,78,20059,70,25550,,144,11,2595,,,,,8454371,10066854,1516106,19327479,37756289,2800351,40556640,,,,,,,13402,,,3297818,-912755,20942,33115,,2452522,,,,11902605,,1727046,,,5882189,,9120254,9120254,17454965,1190163,568687,,,,2287835,4046685,,,,33179736,33179736,37226421,-19771456,-19771456,17454965,,,,,,,,,37690889,2865751,40556640,26477064,14079576,18521225,-4441649,153247,-4288402,,-4288402,,,,,
776114,454141,PALMS BEHAVIORAL HEALTH,613 VICTORIA LN,HARLINGEN,TX,78550,CAMERON,15180,U,PH,4,4,01/01/2023,12/31/2023,98.58,,,1211,154,24449,94,34310,,115,16,3872,94,,1211,154,24449,94,34310,,115,16,3872,,,,,9569666,8692752,175788,18395359,62038500,7407100,69445600,,,,,,,-135288,,,7653635,-4993146,26921,115052,,3018897,1710000,,2590000,32568,151696,246531,,,4438558,,,,7457455,196309,649708,-12824,,,306592,4068038,,,,,,4068038,3389417,3389417,7457455,,,,,,,,,62038500,7795424,69833924,52878413,16955511,18262418,-1306907,5047197,3740290,2,3740288,,,,,
776116,490063,INOVA FAIRFAX HOSPITAL,3300 GALLOWS ROAD,FALLS CHURCH,VA,22042,FAIRFAX,47894,U,STH,1,2,01/01/2023,12/31/2023,11084.78,219.06,,65944,27093,292489,908,331420,,11622,3415,47350,1014,,53963,27093,198468,667,243455,,11622,3415,47350,90284728,47139855,106924693,206943584,729889632,1321400413,159395951,2132755833,3187948094,2850793847,6038741941,124642164,,729889632,58586866,180965,2780582,1214714,,,999246795,-696711171,25682809,52513483,,10047498616,20769371,29785257,798753267,867298334,78176126,683616276,,25177330,989999822,,136776911,136776911,11174275349,7195673107,32097143,,,1806111,44753747,7274330108,18454426,,,4200000,22654426,7296984534,3877290815,3877290815,11174275349,,127936784,44137760,,6310834,0.1467,68644703,13967463,3131961476,3046840062,6178801538,3515750658,2663050880,2051290045,611760835,112710247,724471082,1,724471081,0.353179,253397354,1044085103,,
776118,500024,PROVIDENCE ST. PETER HOSPITAL,413 LILLY ROAD,OLYMPIA,WA,98506,THURSTON,36500,R,STH,1,1,01/01/2023,12/31/2023,2111.78,31.59,,33029,2079,111482,302,110230,,4610,269,16244,322,,30021,1673,94281,260,94900,,4610,269,16244,8929126,6222753,10492026,47326953,227699454,276383948,17204435,572589384,1582129603,977671975,2559801578,62021977,,227749307,37637421,,,70849697,,,111093416,,10111482,265579,6188,199301684,3679314,4959466,207227801,1567130,44431921,160280996,,,138832191,54836160,6553350,61389510,399523385,26328974,12822280,212852,11616368,,219883,54937079,,12218616,,3912439,16131055,71068134,328455251,328455251,399523385,,54055094,19371581,,1907258,0.1039,68400499,4483800,1582000044,983201963,2565202007,2002516195,562685812,683171085,-120485273,14848946,-105636327,,-105636327,0.223685,48608444,403721287,,
776122,531305,PLATTE COUNTY MEMORIAL HOSPITAL,201 14TH STREET,WHEATLAND,WY,82201-,PLATTE,99953,R,CAH,1,2,01/01/2023,12/31/2023,107.05,,,1125,95,1837,25,9125,,173,22,325,25,,592,80,1004,25,9125,,173,22,325,1373931,1460831,2346394,3534337,11365918,16958545,751516,25251277,5017311,30158093,35175404,,,,,,,684,,,5959616,-3005979,578623,,15586,3793527,48763,3472,995275,11656733,2917553,12579891,799493,,12994271,,3561,3561,16791359,222218,975650,,,,2421496,3619364,,,,7897028,7897028,11516392,5274967,5274967,16791359,,,,,,,,,5643757,32870637,38514394,14343962,24170432,28324463,-4154031,1881888,-2272143,,-2272143,0.717867,918835,3269095,,
776123,670008,WEBSTER SURGICAL SPECIALTY HOSPITAL,333 N. TEXAS AVENUE,WEBSTER,TX,77598-,HARRIS,26420,U,STH,1,4,01/01/2023,12/31/2023,302.52,,,565,4,1629,20,7300,,250,2,683,20,,565,4,1629,20,7300,,250,2,683,2426,870776,109788,111594,17291085,77712707,5500782,83231687,74945039,628491581,703436620,4473978,,17291085,5130300,,,5134861,,,125209870,-109830685,1968838,2396423,40752,24920059,,14252193,,437839,19875754,23996721,,,22711353,,1547164,1547164,49178576,3998893,4778513,,4217159,,6538326,19532891,,10877068,,,10877068,30409959,18768617,18768617,49178576,,2957981,684022,,,,,,74945040,628491581,703436621,606627747,96808874,95003792,1805082,903840,2708922,-6,2708928,0.118322,2480,36225,,
776124,670120,HOSPITALS OF PROV TRANSMOUNTAIN CAMP,2000 TRANSMOUNTAIN,EL PASO,TX,79911,EL PASO,21340,U,STH,1,4,01/01/2023,12/31/2023,404.6,36.14,,4314,869,24232,108,39420,,963,52,6100,108,,3684,442,19897,90,32850,,963,52,6100,6964435,9893138,7860318,9560326,41275297,101895294,10018863,117375472,747524749,702633000,1450157749,7907149,,41092506,1828666,,18067,34887,,,90631701,-68209843,2408797,14663088,,55028543,21489164,8021589,64696963,,46639007,54102002,,,128388310,,6606042,6606042,190022895,9020690,1180272,,990026,,6510627,17701615,,,,2501164,2501164,20202779,169820116,169820116,190022895,,7132962,2547194,,368814,0.1524,19874701,1523647,749535280,703132458,1452667738,1297581497,155086241,143170628,11915613,810771,12726384,,12726384,0.08094,14802482,217940657,24597,565082
776125,673027,CENTRAL TEXAS REHABILITATION HOSPITA,700 WEST 45TH STREET  8TH FLOOR NORT,AUSTIN,TX,78751,TRAVIS,12420,U,RH,5,5,01/01/2023,12/31/2023,68.4,,,3972,,8566,50,18250,,338,,694,50,,3972,,8566,50,18250,,338,,694,,,,,6446812,9475132,215550,16024043,17258846,,17258846,992934,,6446812,932264,,,704736,,,3390062,-1118396,117478,393660,,2401066,,,65562,1183263,,3397755,,,1121400,,8627038,8627038,12149504,6808490,623527,73602,,,3447317,10952936,,,,3050411,3050411,14003347,-1853843,-1853843,12149504,,,,,,,,,17258846,,17258846,2412880,14845966,15921944,-1075978,115417,-960561,,-960561,,,,,
776126,673077,TEXAS REHABILITATION HOSPITAL OF KEL,791 S. MAIN STREET,KELLER,TX,76248,TARRANT,23104,U,RH,5,5,01/01/2023,12/31/2023,81.8,,,6004,10,9105,36,13140,,540,1,808,36,,6004,10,9105,36,13140,,540,1,808,,,-4603,-4603,6522880,7192306,217256,12853387,27449421,,27449421,902884,,6522880,210609,,,342544,,,2477802,-339517,83794,226979,,2791807,,,,112477,,1789567,,,1293659,,28560549,28570549,32656015,626463,533818,11615,,,874883,2046779,,,,28166424,28166424,30213203,2442812,2442812,32656015,,,,,,,,,27449421,,27449421,10566664,16882757,13715186,3167571,67420,3234991,,3234991,0.468257,,,,
776131,010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,99901,R,STH,1,2,01/01/2023,12/31/2023,457.54,,,1977,1114,7395,45,16425,,385,415,1614,45,,791,706,3404,39,14235,,385,415,1614,85333,2443113,776868,776868,33503528,52401779,2904066,63027834,32235867,196485420,228721287,5293058,72004,33202286,1504120,,,131665,4698590,2500000,32007236,-22532629,2573499,820660,,26231756,3181389,,64936664,947506,46496266,,,,31381849,9351013,21430917,30781930,88395535,9455742,3425561,,2543964,,398197,16818481,,29434145,,3853333,33287478,50105959,38289576,38289576,88395535,,2416418,675700,,94000,0.1216,,,32235866,206680503,238916369,160157645,78758724,85905307,-7146583,7595165,448582,3097,445485,0.275566,798068,17682431,,
776132,010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401-,CONECUH,99901,R,STH,1,4,01/01/2023,12/31/2023,98.75,,,1319,476,3592,44,16060,,364,181,906,44,,1319,476,3592,44,16060,,364,181,906,,3236390,1277345,1279877,6540916,8332195,323242,13314410,10146984,23540772,33687756,758994,27898,6540916,,,,-2855402,,,6107334,-4942336,2206778,254855,,1323803,11079,125126,3101254,210527,698211,6221718,,,1251705,,145893,20851471,23426979,1782339,,,547177,1786275,3279827,7395618,,1096414,,,1096414,8492032,14934947,14934947,23426979,,1466329,452178,,48299,0.1007,,,10227838,24358967,34586805,22667558,11919247,16592623,-4673376,2415762,-2257614,,-2257614,0.39523,480313,4547247,23703,66379
776136,031314,COBRE VALLEY REG. MEDICAL CENTER,5880 S. HOSPITAL DRIVE,GLOBE,AZ,85501,GILA,99903,R,CAH,1,2,01/01/2023,12/31/2023,343.23,,,2028,,6764,25,9125,,458,,1710,25,,1734,,5664,19,6935,,458,,1710,77894,3930730,1543517,1543517,31786819,57997224,2473103,82727144,66797977,154911649,221709626,,,,,,,103157365,,,42079341,-34099682,2843156,1282043,32920,115295143,946897,4302429,57370404,,,41779527,,,39451001,2650116,192571,2842687,157588831,13328877,9604702,,1716982,,11262188,35912749,,28046021,,,28046021,63958770,93630061,93630061,157588831,,,,,,,,,67425007,154590998,222016005,138628731,83387274,89784043,-6396769,20408359,14011590,,14011590,0.373133,22697900,63446486,,
776137,040114,BAPTIST HEALTH MEDICAL CENTER - LR,9601 BAPTIST HEALTH DRIVE,LITTLE ROCK,AR,72205-,PULASKI,30780,U,STH,1,2,01/01/2023,12/31/2023,3361.13,9.34,14469,41054,15798,167045,658,240170,1,6803,2923,26827,682,9,29923,10514,101805,401,146365,1,6803,2923,26827,17741581,15134266,21034798,37707383,190800767,426726756,6911404,551585897,1968780475,828761533,2797542008,35923306,,190842492,27638746,,87369,-1085883,,,440977174,-342441468,12327934,144603,,261184352,5950678,5065317,257832979,786760,184589767,,,25196071,197605600,314571731,4908162,319479893,778269845,10930837,5421,511505,,,-10450548,997215,,,,11491076,11491076,12488291,765781554,765781554,778269845,,63767396,21594903,,3873315,0.1815,74090618,481956,1987245228,961759062,2949004290,2259712988,689291302,714121513,-24830211,74029453,49199242,-29395763,78595005,0.197168,37563862,385335241,,
776138,041333,SEVIER COUNTY MEDICAL CENTER,960 HWY 71 N,DE QUEEN,AR,71832,SEVIER,99904,R,CAH,1,8,08/07/2023,12/31/2023,50.8,,,110,40,302,15,2205,,44,16,148,15,,103,40,295,15,2205,,44,16,148,,,,,2910524,4231984,759531,7978121,1191363,5944538,7135901,,,,,,,14063748,,,-436038,-265866,80409,41754,,13534407,195827,,19080946,,,5332847,59613,,23291043,,258295,258295,37083745,192349,-242335,,16120,-143134,521546,694546,,30439141,,5015828,35454969,36149515,934230,934230,37083745,,,,,,,,,1187194,6805222,7992416,4501617,3490799,7142508,-3651709,1657560,-1994149,,-1994149,1.118026,,,,
776139,044021,WOODRIDGE OF WEST MEMPHIS LLC,600 NORTH 7TH STREET,WEST MEMPHIS,AR,72301,,,NA,PH,4,4,01/01/2023,12/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776141,050008,CPMC-R.K. DAVIES MEDICAL CENTER,601 DUBOCE AVE,SAN FRANCISCO,CA,94117-3389,SAN FRANCISCO,41884,U,STH,1,2,01/01/2023,12/31/2023,447.2,9.41,,4911,687,16004,105,38325,,1094,96,3668,209,,4438,525,13771,97,35405,,1094,96,3668,2578869,4033772,3665160,33327411,107632504,106154311,304037,220848083,509872426,346813944,856686370,20200157,,114936999,,,,151729851,13902322,,885498579,-645712346,21096338,11161960,282100,574875835,186505785,33669993,2501865081,61436648,386598061,471809758,13110596,,2304038256,123244091,38676125,161920216,3040834307,53373407,13574194,,27165000,,32736629,134948402,,645935979,,90289969,736225948,871174350,2169659957,2169659957,3040834307,,13829166,4262376,,1002272,0.2216,11412576,88323,514189478,361822638,876012116,620034154,255977962,213786815,42191147,6351579,48542726,,48542726,0.257793,20083815,191852832,,
776142,050014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,95642-2564,AMADOR,99905,R,STH,1,2,01/01/2023,12/31/2023,306.87,1.9,,4502,251,9606,52,18980,,1028,46,2335,52,,4021,203,7966,46,16790,,1028,46,2335,953814,3214472,1790356,2156121,46135274,56632656,5050330,93627325,149249432,229923894,379173326,9731860,,46142774,,,17671,609512,1331686,,53205763,-40077125,1327373,107456,,24511097,1243189,1224043,75675906,,,22648669,2456706,,36967566,242890,7977342,8220232,69698895,1872494,623419,,,,120221,2616143,,10634263,,409766,11044029,13660172,54457777,56038723,69698895,,10166804,3315587,,309421,0.0918,4043082,273396,150052914,234623849,384676763,278577322,106099441,102767930,3331511,2984298,6315809,,6315809,0.246925,12553632,76204755,,
776144,050058,GLENDALE MEMORIAL HOSPITAL & HLTH CT,1420 SOUTH CENTRAL AVE,GLENDALE,CA,91204-,LOS ANGELES,31084,R,STH,1,2,01/01/2023,12/31/2023,753.9,,,11243,2952,38616,241,87965,,2136,646,8695,285,,10116,1481,31489,204,74460,,2136,646,8695,5291082,13912596,8371429,28223390,99687840,221416359,9541846,242441542,891565728,448801729,1340367457,28846773,,99687840,18487464,,,-25799317,,,256429610,-222354884,5955281,688053,,75609889,48470000,616421,55251728,,,46703505,,,122450171,,13096172,13096172,211156232,5888358,9682951,53684,2518360,,38476093,57513456,,456561976,,9861408,466423384,523936840,-312780608,-312780608,211156232,,23897167,,,3515871,0.5885,19040428,,904498140,435867483,1340365623,1073390249,266975374,321104199,-54128825,8667881,-45460944,,-45460944,0.180877,50563103,532858026,,
776145,050063,HOLLYWOOD PRESBYTERIAN MEDICAL CNTR,1300 NORTH VERMONT AVENUE,LOS ANGELES,CA,90027,LOS ANGELES,31084,R,STH,1,4,01/01/2023,12/31/2023,1132.13,5.83,,13049,11007,65195,317,115705,,2167,1940,13424,434,,11490,5932,50595,266,97090,,2167,1940,13424,2565039,20694144,8055544,8055544,144328156,341031037,7463887,383542893,1091646439,393211629,1484858068,20307184,,144328156,22322454,,,11806462,354036,,417992106,-373961912,5356598,13318030,,196472892,12656694,353706,37337981,,19975402,464663328,,,445493232,,47419999,47419999,689386123,74844241,10083047,3117214,8443052,,44238762,140726316,,,,335709791,335709791,476436107,212950016,212950016,689386123,,24523252,9302575,,5414670,0.6403,22573474,,1091624390,395675362,1487299752,1011994166,475305586,485359193,-10053607,9504797,-548810,,-548810,0.258303,176875559,732020594,,
776146,050073,KFH - VALLEJO,975 SERRANO DRIVE,VALLEJO,CA,94589-,SOLANO,46700,U,STH,1,2,01/01/2023,12/31/2023,1163.13,20.15,,2832,3426,36277,184,67160,,454,69,7285,237,,2457,1903,29338,160,58400,,454,69,7285,919319,2897073,1634476,29049896,196671509,384619753,11599672,514378842,874601447,1209124945,2083726392,41200891,,190732967,91010421,,634238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6510580,2135912,,176605,0.0817,54717651,546156,874601447,1209124945,2083726392,1527999219,555727173,555482362,244811,4818382,5063193,,5063193,0.246855,27345651,221827191,51,7986
776147,050075,KFH - OAKLAND,275 W MACARTHUR BLVD,OAKLAND,CA,94611,ALAMEDA,36084,R,STH,1,2,01/01/2023,12/31/2023,2494.41,156.01,,7112,11549,102992,365,133225,,1297,463,21733,365,,6184,8032,82003,291,106215,,1297,463,21733,1634402,5047675,2950033,73055888,415425051,888183030,43732962,1105834218,2188554568,2054193704,4242748272,105687033,,414126982,186310500,,4678853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17820077,4756118,,542393,0.0961,138683670,3253817,2188554568,2054193703,4242748271,3018817286,1223930985,1236121574,-12190589,15435212,3244623,,3244623,0.260641,65780478,521354404,60371,154750
776148,050076,KFH - SAN FRANCISCO,2425 GEARY BOULEVARD,SAN FRANCISCO,CA,94115-,SAN FRANCISCO,41884,R,STH,1,2,01/01/2023,12/31/2023,1327.98,92.34,,1683,403,64369,239,87235,,282,58,12217,239,,1476,349,49038,185,67525,,282,58,12217,611848,1581776,1050807,14727400,241264820,533616477,16785359,638964271,1381077450,921411149,2302488599,58507205,,243909045,97219361,,2329642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4501765,1221113,,,,110840451,995025,1381077449,921411148,2302488597,1549297757,753190840,730503319,22687521,10068336,32755857,,32755857,0.27751,20360369,122629319,369,23311
776149,050099,SAN ANTONIO REGIONAL HOSPITAL,999 SAN BERNARDINO ROAD,UPLAND,CA,91786,SAN BERNARDINO,40140,U,STH,1,2,01/01/2023,12/31/2023,1837.39,,,16414,4188,78450,363,132495,,3153,657,16303,363,,14297,3212,66051,307,112055,,3153,657,16303,4510150,12641698,6165685,46330230,188716561,252306230,18457555,378419104,2026708864,1646215007,3672923871,39161167,,189283059,13433082,,,8684707,76458155,,250760434,-187811638,6663347,10643007,18504503,265016105,14410933,2295201,333532643,9561995,,138000566,,,292089840,149860745,78034709,227895454,785001399,33849308,21005928,,2915000,,47114977,104885213,,132113673,,37425787,169539460,274424673,510576726,510576726,785001399,,31210342,11847068,,2076444,0.1929,64961392,,2026708863,1637610871,3664319734,3232067414,432252320,441022791,-8770471,39920695,31150224,,31150224,0.103029,48573058,861287632,,
776152,050121,ADVENTIST HEALTH HANFORD,115 MALL DRIVE,HANFORD,CA,93230-,KINGS,25260,U,STH,1,1,01/01/2023,12/31/2023,1064.24,20.37,,10558,5382,43205,235,85775,,1994,760,9203,235,,9734,4665,38082,207,75555,,1994,760,9203,7974887,9410849,9906888,9906888,123045884,265642642,6892180,302692535,529275669,1104924243,1634199912,28927882,,123045884,2987926,,,446476852,,290057,253015065,-207010238,6375018,1421835,,607536699,8551446,3404885,256023677,11528001,30743437,110375661,,,176414367,19484615,1380000,20864615,804815681,14663974,10873387,,,1887350,99122274,156260598,,120273313,,22229880,142503193,298763791,506051890,506051890,804815681,,18779947,6971397,,2192083,0.3405,12142574,139211,533118097,1121904604,1655022701,1295793037,359229664,388688526,-29458862,86651777,57192915,,57192915,0.185224,133999418,714683130,,
776153,050133,ADVENTIST HEALTH AND RIDEOUT,726 FOURTH STREET,MARYSVILLE,CA,95901-,YUBA,49700,R,STH,1,2,01/01/2023,12/31/2023,1278.09,,,23209,4215,57222,209,76285,,4028,782,10827,209,,20925,3486,47722,179,65335,,4028,782,10827,7210620,10491475,9614506,9614506,171390796,361067346,11533388,410521743,1170314131,927371997,2097686128,53041280,,171156640,4060783,,,-142583530,,,350418096,-272768524,6867765,5345086,7228577,4521667,17524993,4025660,399682342,4044650,6587354,145276131,,,296246214,,7124711,7124711,307892592,19707205,15604190,-7877,8252000,117611,983103,72527016,,219229452,,10811046,230040498,302567514,5325078,5325078,307892592,,39135095,15108086,,1627296,0.12,14038881,,1173694004,930209571,2103903575,1633962747,469940828,532458142,-62517314,25206441,-37310873,,-37310873,0.195702,95295448,613783418,,
776154,050135,SO CALIF HOSPITAL AT HOLLYWOOD,6245 DELONGPRE AVE,HOLLYWOOD,CA,90028,LOS ANGELES,31084,U,STH,1,4,01/01/2023,12/31/2023,1164.76,,,30237,1629,107180,545,198925,,5472,4716,19082,598,,28204,1342,101470,517,188705,,5472,4716,19082,1881176,7275579,4010237,18586055,131479253,293821031,-1815571,336766027,1262796632,173518207,1436314839,18744734,,131479253,21111290,,,725782,,,416143767,-314890676,3594638,7439266,7619177,291125156,15769126,823488,45157376,29130,1278970,42336509,14289706,,55787441,,18066903,18066903,364979500,91454877,24884501,3591369,,1200000,175708428,-76800835,,7761756,,3463393,11225149,-65575686,430555186,430555186,364979500,,46999063,22517133,,8797275,0.5062,9906230,,1262796631,173518207,1436314838,1174473143,261841695,425300284,-163458589,197970005,34511416,-6,34511422,0.234465,71076652,693173310,,
776155,050137,KFH - PANORAMA CITY,13652 CANTARA STREET,PANORAMA CITY,CA,91402-,LOS ANGELES,31084,R,STH,1,2,01/01/2023,12/31/2023,914.26,3.86,,856,3530,41472,218,79570,,249,69,11053,218,,481,880,30224,170,62050,,249,69,11053,699332,1549662,1073265,20040554,118824929,204150035,13659330,430873730,701653182,1083980209,1785633391,25851981,,140136771,65073699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2920104,865641,,88682,0.0937,62205836,31743,682178983,1060031189,1742210172,1248725495,493484677,333635995,159848682,998589,160847271,,160847271,0.2413,22107787,170224104,,
